Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,15554442166620,meta_title,en,,,Plastic Chess Piece (king 3 3/4'' Club) Weighted,Plastic Chess Piece (king 3 3/4'' Club) Weighted
PRODUCT,15554442166620,meta_description,en,,,Tungt schackset i plast med extra drottningar. Turneringsgodkända pjäser med härlig tyngd – perfekt för snabba partier!,Triple-weighted plastic chess set with extra queens. Perfect for tournament and blitz play with great feel and durability.
PRODUCT,15554442330460,title,en,,,Fromage - Limited Edition,Fromage - Limited Edition
PRODUCT,15554442330460,body_html,en,,,"<p>Fromage – Limited Edition är ett strategiskt brädspel där du tar rollen som en fransk ostmakare i början av 1900-talet. Tillverka, lagra och sälj utsökt hantverksost för att bygga upp ditt rykte och bli den mest prestigefyllda ostmakaren i Frankrike.</p>
<p>Spelet kombinerar områdeskontroll, kontrakt och smart resurshantering med en roterande spelplan – varje runda vrids brädet och förändrar dina möjligheter. Limited Edition innehåller lyxigare komponenter som trädelar, uppgraderade meeples och en inbyggd roterbar spelplan (Lazy Susan).</p>
<p>✔️ Viktiga egenskaper:</p>
<ul>
<li>Strategiskt worker placement-spel med innovativ roterande spelplan</li>
<li>Spela som ostmakare i 1900-talets Frankrike</li>
<li>Samtidiga spelarval ger snabb och dynamisk spelgång</li>
<li>Limited Edition med träkomponenter och Lazy Susan</li>
<li>Belönat med flera priser för innovation och design</li>
</ul>","<p>Fromage – Limited Edition is a strategic board game where you play as a French cheesemaker in the early 1900s. Craft, age, and sell artisanal cheeses to build prestige and become the most respected fromager in France.</p>
<p>Using simultaneous worker placement and a rotating board, players gather resources and manage their creamery efficiently across changing conditions. The Limited Edition includes upgraded wooden components, custom meeples, and a built-in Lazy Susan turntable for an elevated game experience.</p>
<p>✔️ Key Features:</p>
<ul>
<li>Innovative strategy game with simultaneous worker placement</li>
<li>Rotating board changes player options each round</li>
<li>Set in early 20th-century France with a cheese-making theme</li>
<li>Limited Edition with wooden parts, deluxe meeples &amp; Lazy Susan</li>
<li>Award-winning gameplay and artistic presentation</li>
</ul>"
PRODUCT,15554442330460,meta_title,en,,,Fromage - Limited Edition,Fromage - Limited Edition
PRODUCT,15554442330460,meta_description,en,,,"Fromage Limited Edition bjuder på strategi, ost och charm. Roterande bräde och uppgraderade komponenter för en extra lyxig spelupplevelse.",Craft cheese and earn prestige in this rotating-board strategy game. Fromage Limited Edition includes deluxe components and elegant design.
PRODUCT,15554442395996,title,en,,,I Made You a Mixtape,I Made You a Mixtape
PRODUCT,15554442395996,body_html,en,,,"<p>I Made You a Mixtape är ett lättsamt och nostalgiskt kortspel där du tävlar om att skapa det ultimata mixbandet från din storebrors 90-talsmusiksamling. Perfekt för 1–4 spelare och fullspäckat med humor och retrovibbar!</p>
<p>Med en smart “jag delar – du väljer”-mekanik handlar spelet om att sätta ihop en spellista med rätt känsla, flöde och balans mellan kassettens sida A och B. Den som gör det bästa bandet vinner inte bara äran – utan också ett episkt Quantum Leap-postersignerat av Scott Bakula!</p>
<p>✔️ Viktiga egenskaper:</p>
<ul>
<li>Kortspel med 90-talsnostalgi och humor</li>
<li>1–4 spelare, speltid ca 30–45 minuter</li>
<li>Smart delnings- och valmekanik (""I cut, you choose"")</li>
<li>Skapa den perfekta mixkassetten med tema och balans</li>
<li>Låg komplexitet – perfekt för både familj och vänner</li>
</ul>","<p>I Made You a Mixtape is a fun and nostalgic card game where you compete to create the ultimate 90s-style mixtape from your older brother’s music stash. Designed for 1–4 players, it’s packed with retro charm and light strategy.</p>
<p>Using the clever “I cut, you choose” mechanic, players build mixtapes judged by theme, track flow, and the balance between Side A and B. The prize? A signed Quantum Leap poster—totally worth it.</p>
<p>✔️ Key Features:</p>
<ul>
<li>Light and humorous 90s-themed card game</li>
<li>For 1–4 players, playtime around 30–45 minutes</li>
<li>Unique “I split, you choose” drafting mechanic</li>
<li>Create a well-balanced and thematic mixtape</li>
<li>Great for families, friends, and music lovers</li>
</ul>"
PRODUCT,15554442395996,meta_title,en,,,I Made You a Mixtape,I Made You a Mixtape
PRODUCT,15554442395996,meta_description,en,,,"Tävla om att göra bästa kassetten i detta charmiga 90-talskortspel. Humor, musik och nostalgi för hela familjen!","Create the ultimate 90s mixtape in this fun, nostalgic card game for 1–4 players. Light strategy and big retro vibes!"
PRODUCT,15554442428764,title,en,,,Dragon Shield Playmat + Tube - The Cinderfin,Dragon Shield Playmat + Tube - The Cinderfin
PRODUCT,15554442428764,body_html,en,,,"<p>Upptäck elegans och funktionalitet i samma paket med Dragon Shield The Cinderfin Playmat + Tube. Detta kompletta set erbjuder både en exklusiv spelmat och en matchande transportrulle – perfekt för dig som värderar stil och skydd.</p>
<p>Spelmatten är designad med omsorg och inspirerad av Cinderfin-temat, vilket ger ett estetiskt tilltalande underlägg för dina matcher. Den följer med en robust tub som gör det enkelt att bära med sig matten utan att den skadas eller skrynklar ihop sig.</p>
<p>Detta är en idealisk lösning för både aktiva spelare och samlare – en elegant och praktisk kombination som gör det enklare att transportera och använda din spelmat i alla sammanhang.</p>","<p>Experience elegance and practicality combined in Dragon Shield The Cinderfin Playmat + Tube. This premium set includes both a themed playmat and a matching tube, perfect for those who value aesthetics and protection.</p>
<p>The mat is carefully designed around the Cinderfin motif, offering a visually striking surface for your games. The sturdy tube ensures your mat can be transported safely and without creasing.</p>
<p>Ideal for both active players and collectors – this combo set makes it easy to carry and display your playmat in style.</p>"
PRODUCT,15554442428764,meta_title,en,,,Dragon Shield Playmat + Tube - The Cinderfin,Dragon Shield Playmat + Tube - The Cinderfin
PRODUCT,15554442428764,meta_description,en,,,Dragon Shield The Cinderfin Playmat + Tube – en stilren spelmatta med bärbar förvaring för samlare och duellanter.,"Dragon Shield The Cinderfin Playmat + Tube – elegant gaming mat with portable protection, ideal for collectors and duelists."
PRODUCT,15554442428764,metafield.custom.description_short,en,,,"Elegant och praktiskt set bestående av spelmat och skyddstube, med Cinderfin-tema – perfekt för både match och transport.",A stylish and practical set featuring a themed playmat and protective tube – perfect for both play and portability.
PRODUCT,15554442527068,title,en,,,Dragon Shield Playmat + Tube - The Whiskerwing,Dragon Shield Playmat + Tube - The Whiskerwing
PRODUCT,15554442527068,body_html,en,,,"<p>Lyft dina spelstunder till nya höjder med Dragon Shield Playmat + Tube – The Whiskerwing. I det här eleganta setet kombineras en stilsäker spelmatta med en matchande tub för säker transport – perfekt för dig som älskar både estetik och funktion.</p>
<p>Spelmatta med Whiskerwing-design ger en visuell wow-känsla på bordet, medan tuben skyddar matten vid färd och förvaring så att den håller sig fin och obruten. Ett suveränt val för dig som vill kunna ta med dig din favoritmatta utan att oroa dig för att den ska bli skrynklig eller skadad.</p>
<p>Detta set är en perfekt balans mellan skönhet och praktikalitet – en fin present till dig själv eller till din spelkompis som vill ha både skydd och stil i ett paket.</p>","<p>Elevate your gameplay experience with the Dragon Shield Playmat + Tube – The Whiskerwing. This stylish bundle pairs an artfully designed playmat with a matching tube for secure transport—perfect for those who appreciate both aesthetics and functionality.</p>
<p>The Whiskerwing-themed mat brings visual flair to your gaming surface, while the tube ensures your mat stays protected on the go. A great option for anyone who wants to bring their favorite playmat without worrying about creases or damage.</p>
<p>This set strikes a beautiful balance between elegance and practicality—an ideal gift to yourself or a fellow gamer who values both protection and style.</p>"
PRODUCT,15554442527068,meta_title,en,,,Dragon Shield Playmat + Tube - The Whiskerwing,Dragon Shield Playmat + Tube - The Whiskerwing
PRODUCT,15554442527068,meta_description,en,,,Dragon Shield Playmat + Tube – The Whiskerwing: stilren och praktisk kombination för samlare och entusiaster.,"Dragon Shield Playmat + Tube – The Whiskerwing: a stylish, practical combo for collectors and players alike."
PRODUCT,15554442527068,metafield.custom.description_short,en,,,Elegant Whiskerwing-temat set med spelmatta och skyddstube – perfekt för att spela med stil och transportera säkert,Whiskerwing-themed playmat and protective tube set – stylish and secure for all your gaming needs.
PRODUCT,15554442756444,title,en,,,Dragon Shield Playmat & Tube - The Millerax,Dragon Shield Playmat & Tube - The Millerax
PRODUCT,15554442756444,body_html,en,,,"<p>Ge dina spelbord ett konstnärligt lyft med Dragon Shield Playmat &amp; Tube – The Millerax. Detta eleganta set kombinerar en visuellt fängslande spelmatta med en matchande tub för säker transport – perfekt för dig som vill spela med både stil och trygghet.</p>
<p>Matta och tub bär temat The Millerax, och designen skapar en stämning av mystik och djup som gör varje match mer atmosfärisk. Tuben skyddar mot böjning och skador när du tar med dig matten på resande fot, medan mattan ligger platt direkt utan att veckas eller skrynkla – redo när du vill duellera.</p>
<p>Detta set är idealiskt för dig som uppskattar både estetisk känsla och praktisk funktion – en kombination som gör att du kan spela med stolthet och trygghet var du än är.</p>","<p>Elevate the look of your gaming space with the Dragon Shield Playmat &amp; Tube – The Millerax. This refined set combines a visually captivating playmat with a matching tube for safe transport—ideal for those who value both flair and protection.</p>
<p>The Millerax-themed design adds a touch of mystery and depth to your matches. The tube safeguards the mat during travel, preventing bends or damage, while the mat lies flat immediately without curling or creasing—always ready when you are.</p>
<p>A perfect blend of aesthetic appeal and functionality, this duo is made for players who want to duel with pride and confidence wherever they go.</p>"
PRODUCT,15554442756444,meta_title,en,,,Dragon Shield Playmat & Tube - The Millerax,Dragon Shield Playmat & Tube - The Millerax
PRODUCT,15554442756444,meta_description,en,,,Dragon Shield Playmat & Tube – The Millerax: konstnärlig spelmatta med matchande transport­tub för samlare och spelare.,Dragon Shield Playmat & Tube – The Millerax: an artful play surface with matched travel tube for enthusiasts and players alike.
PRODUCT,15554442756444,metafield.custom.description_short,en,,,Ett stilrent och praktiskt set med The Millerax-tema – spelmatta och skyddstube i perfekt kombination för dig som vill spela med elegans och säkerhet.,A sleek and practical set featuring The Millerax-themed playmat and protective tube—designed for style and security in one package.
PRODUCT,15554442789212,title,en,,,Roulette 7-i-1 spin tärning för dnd/rollspel - Lila,Roulette 7-in-1 spin dice for dnd/role playing - Purple
PRODUCT,15554442789212,meta_title,en,,,Roulette Dice D20 Guld,Roulette Dice D20 Gold
PRODUCT,15554442789212,meta_description,en,,,Spela med stil med Roulette Dice D20! En unik d20 som ser ut som ett rouletthjul – perfekt för rollspel och samlare.,Play in style with the Roulette Dice D20! A unique d20 that looks like a roulette wheel – perfect for RPGs and collectors.
PRODUCT,15554442821980,title,en,,,Roulette 7-i-1 spin tärning för dnd/rollspel - Blå,Roulette 7-in-1 spin dice for dnd/role playing - Blue
PRODUCT,15554442821980,meta_title,en,,,Roulette Dice D20 Guld,Roulette Dice D20 Gold
PRODUCT,15554442821980,meta_description,en,,,Spela med stil med Roulette Dice D20! En unik d20 som ser ut som ett rouletthjul – perfekt för rollspel och samlare.,Play in style with the Roulette Dice D20! A unique d20 that looks like a roulette wheel – perfect for RPGs and collectors.
PRODUCT,15554442854748,title,en,,,Roulette 7-i-1 spin tärning för dnd/rollspel - Koppar,Roulette 7-in-1 spin dice for dnd/role playing - Copper
PRODUCT,15554442854748,meta_title,en,,,Roulette Dice D20 Guld,Roulette Dice D20 Gold
PRODUCT,15554442854748,meta_description,en,,,Spela med stil med Roulette Dice D20! En unik d20 som ser ut som ett rouletthjul – perfekt för rollspel och samlare.,Play in style with the Roulette Dice D20! A unique d20 that looks like a roulette wheel – perfect for RPGs and collectors.
PRODUCT,15554442953052,title,en,,,Roulette 7-i-1 spin tärning för dnd/rollspel - Grön,Roulette 7-in-1 spin dice for dnd/role playing - Green
PRODUCT,15554442953052,meta_title,en,,,Roulette Dice D20 Guld,Roulette Dice D20 Gold
PRODUCT,15554442953052,meta_description,en,,,Spela med stil med Roulette Dice D20! En unik d20 som ser ut som ett rouletthjul – perfekt för rollspel och samlare.,Play in style with the Roulette Dice D20! A unique d20 that looks like a roulette wheel – perfect for RPGs and collectors.
PRODUCT,15554442985820,title,en,,,Roulette 7-i-1 spin tärning för dnd/rollspel - Svart,Roulette 7-in-1 spin dice for dnd/role playing - Black
PRODUCT,15554442985820,meta_title,en,,,Roulette Dice D20 Guld,Roulette Dice D20 Gold
PRODUCT,15554442985820,meta_description,en,,,Spela med stil med Roulette Dice D20! En unik d20 som ser ut som ett rouletthjul – perfekt för rollspel och samlare.,Play in style with the Roulette Dice D20! A unique d20 that looks like a roulette wheel – perfect for RPGs and collectors.
PRODUCT,15554443018588,title,en,,,Roulette 7-i-1 spin tärning för dnd/rollspel - Röd,Roulette 7-in-1 spin dice for dnd/role playing - Red
PRODUCT,15554443018588,meta_title,en,,,Roulette Dice D20 Guld,Roulette Dice D20 Gold
PRODUCT,15554443018588,meta_description,en,,,Spela med stil med Roulette Dice D20! En unik d20 som ser ut som ett rouletthjul – perfekt för rollspel och samlare.,Play in style with the Roulette Dice D20! A unique d20 that looks like a roulette wheel – perfect for RPGs and collectors.
PRODUCT,15554443116892,title,en,,,Roulette 7-i-1 spin tärning för dnd/rollspel - Guld,Roulette 7-in-1 spin dice for dnd/role playing - Gold
PRODUCT,15554443116892,meta_title,en,,,Roulette Dice D20 Guld,Roulette Dice D20 Gold
PRODUCT,15554443116892,meta_description,en,,,Spela med stil med Roulette Dice D20! En unik d20 som ser ut som ett rouletthjul – perfekt för rollspel och samlare.,Play in style with the Roulette Dice D20! A unique d20 that looks like a roulette wheel – perfect for RPGs and collectors.
PRODUCT,15554443313500,title,en,,,Gyro 7-i-1 spin tärning för dnd/rollspel - Coppar Mechanical,Gyro 7-in-1 spin dice for dnd/role playing - Coppar Mechanical
PRODUCT,15554443313500,body_html,en,,,,"<p> </p>
<p> </p>"
PRODUCT,15554443313500,meta_description,en,,,Hollow Metal DND Dice,Hollow Metal DND Dice
PRODUCT,15554443379036,title,en,,,Roulette Dice D20 Rainbow,Roulette Dice D20 Rainbow
PRODUCT,15554443379036,body_html,en,,,<p>Roulette Dice D20 är den perfekta kombinationen av spel och stil! Denna unika 20-sidiga tärning är designad för att likna ett rouletthjul och ger en elegant touch till dina spelkvällar. Perfekt för dig som vill ha något annorlunda till dina rollspel eller samlingar.</p>,"<p>The Roulette Dice D20 is the perfect blend of gaming and style! This unique 20-sided die is designed to resemble a roulette wheel, adding an elegant touch to your game nights. Ideal for those who want something different for their RPGs or dice collection.</p>"
PRODUCT,15554443379036,meta_title,en,,,Roulette Dice D20 Guld,Roulette Dice D20 Gold
PRODUCT,15554443379036,meta_description,en,,,Spela med stil med Roulette Dice D20! En unik d20 som ser ut som ett rouletthjul – perfekt för rollspel och samlare.,Play in style with the Roulette Dice D20! A unique d20 that looks like a roulette wheel – perfect for RPGs and collectors.
PRODUCT,15554443411804,title,en,,,Mini Metal Dice Set Keychain Silver,Mini Metal Dice Set Keychain Silver
PRODUCT,15554443411804,body_html,en,,,"<p>Mini Metal Dice Set Nyckelring , tärningar för rollspel i en stilren design som du kan bära.</p>
<p> </p>","<p>Mini Metal Dice Set Keychain , dice for roleplaying games in a stylish design that you can wear.</p>
<p> </p>"
PRODUCT,15554443411804,meta_title,en,,,Mini Metal Dice Set Keychain Rainbow D20,Mini Metal Dice Set Keychain Rainbow D20
PRODUCT,15554443477340,title,en,,,Mini Metal Dice Set Keychain Lila,Mini Metal Dice Set Keychain Purple
PRODUCT,15554443477340,body_html,en,,,"<p>Mini Metal Dice Set Nyckelring , tärningar för rollspel i en stilren design som du kan bära.</p>
<p> </p>","<p>Mini Metal Dice Set Keychain , dice for roleplaying games in a stylish design that you can wear.</p>
<p> </p>"
PRODUCT,15554443477340,meta_title,en,,,Mini Metal Dice Set Keychain Rainbow D20,Mini Metal Dice Set Keychain Rainbow D20
PRODUCT,15554443673948,title,en,,,Mini Metal Dice Set Keychain Red/Black,Mini Metal Dice Set Keychain Red/Black
PRODUCT,15554443673948,body_html,en,,,"<p>Mini Metal Dice Set Nyckelring , tärningar för rollspel i en stilren design som du kan bära.</p>
<p> </p>","<p>Mini Metal Dice Set Keychain , dice for roleplaying games in a stylish design that you can wear.</p>
<p> </p>"
PRODUCT,15554443673948,meta_title,en,,,Mini Metal Dice Set Keychain Rainbow D20,Mini Metal Dice Set Keychain Rainbow D20
PRODUCT,15554443706716,title,en,,,Mini Metal Dice Set Keychain Blå,Mini Metal Dice Set Keychain Blue
PRODUCT,15554443706716,body_html,en,,,"<p>Mini Metal Dice Set Nyckelring , tärningar för rollspel i en stilren design som du kan bära.</p>
<p> </p>","<p>Mini Metal Dice Set Keychain , dice for roleplaying games in a stylish design that you can wear.</p>
<p> </p>"
PRODUCT,15554443706716,meta_title,en,,,Mini Metal Dice Set Keychain Rainbow D20,Mini Metal Dice Set Keychain Rainbow D20
PRODUCT,15554443772252,title,en,,,Mini Metal Dice Set Keychain Röd,Mini Metal Dice Set Keychain Red
PRODUCT,15554443772252,body_html,en,,,"<p>Mini Metal Dice Set Nyckelring , tärningar för rollspel i en stilren design som du kan bära.</p>
<p> </p>","<p>Mini Metal Dice Set Keychain , dice for roleplaying games in a stylish design that you can wear.</p>
<p> </p>"
PRODUCT,15554443772252,meta_title,en,,,Mini Metal Dice Set Keychain Rainbow D20,Mini Metal Dice Set Keychain Rainbow D20
PRODUCT,15554443870556,title,en,,,Mini Metal Dice Set Keychain Grön,Mini Metal Dice Set Keychain Green
PRODUCT,15554443870556,body_html,en,,,"<p>Mini Metal Dice Set Nyckelring , tärningar för rollspel i en stilren design som du kan bära.</p>
<p> </p>","<p>Mini Metal Dice Set Keychain , dice for roleplaying games in a stylish design that you can wear.</p>
<p> </p>"
PRODUCT,15554443870556,meta_title,en,,,Mini Metal Dice Set Keychain Rainbow D20,Mini Metal Dice Set Keychain Rainbow D20
PRODUCT,15554443968860,title,en,,,Blå Silk Tärningar 12 mm D6 (36 st),Blue Silk Dice 12 mm D6 (36 pcs)
PRODUCT,15554443968860,body_html,en,,,"<p>36 tärningar (12 mm) Varje tärning är 12 mm stor och har sex sidor med numrerade prickar, vilket gör dem perfekta för ett brett utbud av spel och spelstilar.</p>
<p> </p>","<p>Each die is 12mm in size and features six sides with numbered pips, making them perfect for a wide range of games and play styles.</p>
<p> </p>"
PRODUCT,15554443968860,meta_title,en,,,Ljus Blå Tärningar 12 mm D6 (36 st),Light Blue Dice 12 mm D6 (36 pcs)
PRODUCT,15554443968860,meta_description,en,,,Ljus Blå Tärningar 12 mm D6 (36 st),Light Blue Dice 12 mm D6 (36 pcs)
PRODUCT,15554444001628,title,en,,,Green Silk Tärningar 12 mm D6 (36 st),Green Silk Dice 12 mm D6 (36 pcs)
PRODUCT,15554444001628,body_html,en,,,"<p>36 tärningar (12 mm) Varje tärning är 12 mm stor och har sex sidor med numrerade prickar, vilket gör dem perfekta för ett brett utbud av spel och spelstilar.</p>
<p> </p>","<p>Each die is 12mm in size and features six sides with numbered pips, making them perfect for a wide range of games and play styles.</p>
<p> </p>"
PRODUCT,15554444001628,meta_title,en,,,Ljus Blå Tärningar 12 mm D6 (36 st),Light Blue Dice 12 mm D6 (36 pcs)
PRODUCT,15554444001628,meta_description,en,,,Ljus Blå Tärningar 12 mm D6 (36 st),Light Blue Dice 12 mm D6 (36 pcs)
PRODUCT,15554444034396,title,en,,,Rosa Silk Tärningar 12 mm D6 (36 st),Pink Silk Dice 12 mm D6 (36 pcs)
PRODUCT,15554444034396,body_html,en,,,"<p>36 tärningar (12 mm) Varje tärning är 12 mm stor och har sex sidor med numrerade prickar, vilket gör dem perfekta för ett brett utbud av spel och spelstilar.</p>
<p> </p>","<p>Each die is 12mm in size and features six sides with numbered pips, making them perfect for a wide range of games and play styles.</p>
<p> </p>"
PRODUCT,15554444034396,meta_title,en,,,Ljus Blå Tärningar 12 mm D6 (36 st),Light Blue Dice 12 mm D6 (36 pcs)
PRODUCT,15554444034396,meta_description,en,,,Ljus Blå Tärningar 12 mm D6 (36 st),Light Blue Dice 12 mm D6 (36 pcs)
PRODUCT,15554444099932,title,en,,,Rainbow Silk Tärningar 12 mm D6 (36 st),Rainbow Silk Dice 12 mm D6 (36 pcs)
PRODUCT,15554444099932,body_html,en,,,"<p>36 tärningar (12 mm) Varje tärning är 12 mm stor och har sex sidor med numrerade prickar, vilket gör dem perfekta för ett brett utbud av spel och spelstilar.</p>
<p> </p>","<p>Each die is 12mm in size and features six sides with numbered pips, making them perfect for a wide range of games and play styles.</p>
<p> </p>"
PRODUCT,15554444099932,meta_title,en,,,Ljus Blå Tärningar 12 mm D6 (36 st),Light Blue Dice 12 mm D6 (36 pcs)
PRODUCT,15554444099932,meta_description,en,,,Ljus Blå Tärningar 12 mm D6 (36 st),Light Blue Dice 12 mm D6 (36 pcs)
PRODUCT,15554446885212,title,en,,,Titan D100 Svart (49mm),Titan D100 Black (49mm)
PRODUCT,15554446885212,body_html,en,,,"<p> Titan D20 (49 mm)</p>
<p> </p>","<p> Titan D20 (49mm)</p>
<p> </p>"
PRODUCT,15554446885212,meta_title,en,,,Titan D100 White (49mm),Titan D100 White (49mm)
PRODUCT,15554446885212,meta_description,en,,,Titan D100 White (49mm),Titan D100 White (49mm)
PRODUCT,15554446917980,title,en,,,Titan D100 Röd (49mm),Titan D100 Red (49mm)
PRODUCT,15554446917980,body_html,en,,,"<p> Titan D20 (49 mm)</p>
<p> </p>","<p> Titan D20 (49mm)</p>
<p> </p>"
PRODUCT,15554446917980,meta_title,en,,,Titan D100 White (49mm),Titan D100 White (49mm)
PRODUCT,15554446917980,meta_description,en,,,Titan D100 White (49mm),Titan D100 White (49mm)
PRODUCT,15554444231004,title,en,,,Mystery Dice 5 set DND/RPG - Dice,Mystery Dice 5 set DND/RPG - Dice
PRODUCT,15554444231004,body_html,en,,,"<p>Exklusiva set:<br>5 st Komplett  mystery dice uppsättning: d4, d6, d8, d10, d12, d20 och procenttärning (d10 med tiotal).<br><br>Passar många RPG-spel: Perfekt för Dungeons &amp; Dragons, Pathfinder, Call of Cthulhu, Warhammer och många fler!</p>
<p>""OBS"" Mystery Dice</p>
<p> </p>","<p> </p>
<p>Exclusive sets:<br>5 pcs Complete set: d4, d6, d8, d10, d12, d20 and percentage dice (d10 with tens).<br><br>Suitable for many RPG games: Perfect for Dungeons &amp; Dragons, Pathfinder, Call of Cthulhu, Warhammer and many more!<br>Do you dare to take a chance?</p>"
PRODUCT,15554444231004,meta_title,en,,,Mystery Critstones,Mystery Critstones
PRODUCT,15554444231004,meta_description,en,,,Mystery CritStones – en hemlig påse med 7 premiumpolerade tärningar i exklusiva material. Värde mellan €40-€125. Slå tärningen och avslöja mysteriet!,Mystery CritStones – a secret pouch with 7 premium dice in exclusive materials. Value ranges from €40 to €125. Roll the dice and reveal the mystery!
PRODUCT,15554444263772,title,en,,,Magnetic Building Blocks Liten Vattenfall 100 pcs,Magnetic Building Blocks Small Waterfall 100 pcs
PRODUCT,15554444263772,body_html,en,,,"<p>Magnetiska block för konstruktion för barn, set 100 stycken 2x2 cm, pedagogiskt magnetspel, leksaker barn 6 7 8 9 10 år kreativ leksak, Montessori, sensorisk, pojkar och flickor </p>","<p>Magnetic blocks for construction for children, set of 100 pieces 2x2 cm, educational magnet game, toys for children 6 7 8 9 10 years creative toy, Montessori, sensory, boys and girls </p>"
PRODUCT,15554444263772,meta_title,en,,,Magnetic Building Blocks 100 st,Magnetic Building Blocks 100 pcs
PRODUCT,15554444263772,meta_description,en,,,,Collect exciting Among Us action figures in a blind box (5.5 x 5.5 cm). Each box contains a random figure inspired by the game. Perfect for collectors!
PRODUCT,15554444329308,title,en,,,Magnetic Building Blocks Small House 110 pcs,Magnetic Building Blocks Small House 110 pcs
PRODUCT,15554444329308,body_html,en,,,"<p>Magnetiska block för konstruktion för barn, set 100 stycken 2x2 cm, pedagogiskt magnetspel, leksaker barn 6 7 8 9 10 år kreativ leksak, Montessori, sensorisk, pojkar och flickor </p>","<p>Magnetic blocks for construction for children, set of 100 pieces 2x2 cm, educational magnet game, toys for children 6 7 8 9 10 years creative toy, Montessori, sensory, boys and girls </p>"
PRODUCT,15554444329308,meta_title,en,,,Magnetic Building Blocks 100 st,Magnetic Building Blocks 100 pcs
PRODUCT,15554444329308,meta_description,en,,,,Collect exciting Among Us action figures in a blind box (5.5 x 5.5 cm). Each box contains a random figure inspired by the game. Perfect for collectors!
PRODUCT,15554444362076,title,en,,,Magnetic Building Blocks Forest Cabin 150 st,Magnetic Building Blocks Forest Cabin 150 pcs
PRODUCT,15554444362076,body_html,en,,,"<p>Magnetiska block för konstruktion för barn, set 150 stycken 2x2 cm, pedagogiskt magnetspel, leksaker barn 6 7 8 9 10 år kreativ leksak, Montessori, sensorisk, pojkar och flickor </p>","<p>Magnetic blocks for construction for children, set of 100 pieces 2x2 cm, educational magnet game, toys for children 6 7 8 9 10 years creative toy, Montessori, sensory, boys and girls </p>"
PRODUCT,15554444362076,meta_title,en,,,Magnetic Building Blocks 100 st,Magnetic Building Blocks 100 pcs
PRODUCT,15554444362076,meta_description,en,,,,Collect exciting Among Us action figures in a blind box (5.5 x 5.5 cm). Each box contains a random figure inspired by the game. Perfect for collectors!
PRODUCT,15554444493148,title,en,,,Magnetic Building Blocks Forest  Bibliotek 150 pcs,Magnetic Building Blocks Forest Library 150 pcs
PRODUCT,15554444493148,body_html,en,,,"<p>Magnetiska block för konstruktion för barn, set 150 stycken 2x2 cm, pedagogiskt magnetspel, leksaker barn 6 7 8 9 10 år kreativ leksak, Montessori, sensorisk, pojkar och flickor </p>","<p>Magnetic blocks for construction for children, set of 100 pieces 2x2 cm, educational magnet game, toys for children 6 7 8 9 10 years creative toy, Montessori, sensory, boys and girls </p>"
PRODUCT,15554444493148,meta_title,en,,,Magnetic Building Blocks 100 st,Magnetic Building Blocks 100 pcs
PRODUCT,15554444493148,meta_description,en,,,,Collect exciting Among Us action figures in a blind box (5.5 x 5.5 cm). Each box contains a random figure inspired by the game. Perfect for collectors!
PRODUCT,15554444591452,title,en,,,Magnetic Building Blocks Lava 100 st,Magnetic Building Blocks Lava 100 pcs
PRODUCT,15554444591452,body_html,en,,,"<p>Magnetiska block för konstruktion för barn, set 100 stycken 2x2 cm, pedagogiskt magnetspel, leksaker barn 6 7 8 9 10 år kreativ leksak, Montessori, sensorisk, pojkar och flickor </p>","<p>Magnetic blocks for construction for children, set of 100 pieces 2x2 cm, educational magnet game, toys for children 6 7 8 9 10 years creative toy, Montessori, sensory, boys and girls </p>"
PRODUCT,15554444591452,meta_title,en,,,Magnetic Building Blocks 100 st,Magnetic Building Blocks 100 pcs
PRODUCT,15554444591452,meta_description,en,,,,Collect exciting Among Us action figures in a blind box (5.5 x 5.5 cm). Each box contains a random figure inspired by the game. Perfect for collectors!
PRODUCT,15554444788060,title,en,,,Ghosts Can´t Draw,Ghosts Can´t Draw
